第1题: 1/2*(1'1/3+(1/5+4))=2'23/30
第2534题: 2'1/5-8/9+1'1/1=3'14/45
第2535题: 3-1'1/1=1
第2536题: 2/3-1/2=1/6
第2537题: 4'4/10÷3'3/4=1'13/75
第2538题: 2/7-(4'1/6-5)=1'5/42
第2539题: 9÷2/7=31'1/2
第2540题: 7*1/5+7-1'3/4=6'13/20
第2541题: 3/8+(6'6/10+8)*4=58'31/40
第2542题: 2'1/2*5'1/7=12'6/7
第2543题: (3/10+(10+5'2/5÷7))=11'1/14
第2544题: 8'7/9-5=3'7/9
第2545题: 7+(1'1/3+5)=13'1/3
第2546题: 1-3'1/6-(3-1/2)=-4'2/3
第2547题: 4+7'3/10=11'3/10
第2548题: 1/2*(2-2'3/4)=3/-8
第2549题: (4-5'4/9÷5÷8)=3'311/360
第2550题: 5*2-1=9
第2551题: 3'1/6÷1÷(5÷2'1/2)=1'7/12
第2552题: 1-1/4+(1/3+7)=8'1/12
第2553题: 1/1÷(1/3*(1*2/5))=7'1/2
第2554题: (5÷9+(5'1/7-3))=2'44/63
第2555题: 5*(3+(7-9))=5
第2556题: 5'4/6÷8=17/24
第2557题: (1'1/1-1/2-2-3/10)=-4/5
第2558题: 7'1/7÷(1'1/3*1'1/1)+3=5'19/28
第2559题: (10'1/10+8/9)-3'1/3÷2/6=89/90
第2560题: 6/10÷1/1=3/5
第2561题: 2'3/6÷5*4=2
第2562题: 2÷10=1/5
第2563题: 5÷1+(5*5)=30
第2564题: (2'1/6*3-4)-6'6/8=-4'1/4
第2565题: (3'1/9-5/7)÷4*4=2'25/63
第2566题: 2+(2'1/3÷(8+9))=2'7/51
第2567题: (4÷3/4)-1/2*6/7=4'19/21
第2568题: (7-2)*3'2/3=18'1/3
第2569题: (1*1'5/6)-(6*1/3)=1/-6
第2570题: (9-3)*1/1*8=48
第2571题: 5+(1/1-(1'1/1+1/3))=3'2/3
第2572题: 2'1/2*2/6=5/6
第2573题: (5'3/6÷1)-6-10=-10'1/2
第2574题: 9*4'1/5*4=151'1/5
第2575题: (1/7*3/5)*1=3/35
第2576题: (5*1'3/4)÷2/10=43'3/4
第2577题: 8+6+3'1/4-4'1/8=13'1/8
第2578题: 3-(3/9-2)=4'2/3
第2579题: 1'1/6÷7/9=1'1/2
第2580题: 7'5/8÷(7*4)=61/224
第2581题: (4÷1/6-10)=14
第2582题: (2'3/6+(7÷1'1/1+10))=16
第2583题: 7-2'5/6=4'1/6
第2584题: (8/9-7*4'1/6)-6=-34'5/18
第2585题: 3+2=5
第2586题: 4÷9=4/9
第2587题: (6÷7)*1/1=6/7
第2588题: (10-2'3/6)-6*9'4/9=-49'1/6
第2589题: (1'5/7*(2'2/6-1/2*2/5))=3'23/35
第2590题: 1÷1/6=6
第2591题: 7÷10'1/10+(1'1/1-1'1/2)=1'39/202
第2592题: 5'5/7-(1/9*8)=4'52/63
第2593题: (2'1/4-1/1)*3÷2/6=11'1/4
第2594题: 5÷1'3/5-9*2=-14'7/8
第2595题: (8-1)÷9=7/9
第2596题: 2+(1/10÷1'2/3)=2'3/50
第2597题: 1'1/2-3*3'3/4=-9'3/4
第2598题: 3/9-1'2/3=-1'1/3
第2599题: 4+9+2'1/3=15'1/3
第2600题: 4*2=8
第2601题: 5/8+(6-6)=5/8
第2602题: 4'1/6-4=1/6
第2603题: 5'8/10+(6+(1/2-2))=10'3/10
第2604题: (4-8)+4=0/1
第2605题: 1/2+7=7'1/2
第2606题: 2/7÷7=2/49
第2607题: 5/7*2'1/2=1'11/14
第2608题: 2+2/5=2'2/5
第2609题: 7'6/7+7=14'6/7
第2610题: 3-(2+1'3/4)÷3=1'3/4
第2611题: 2*2/8=1/2
第2612题: 5÷3'1/4=1'7/13
第2613题: 4*(9/10-3/7+8'9/10)=37'17/35
第2614题: 5-8'6/9=-3'2/3
第2615题: 3/4÷(1/9*5'5/8+1/2)=2/3
第2616题: (10*6'3/6)-6÷7'4/7=64'11/53
第2617题: 4'3/5-5'1/7=-19/35
第2618题: 3'4/9+7'1/9÷(5÷5)=10'5/9
第2619题: 10-2=8
第2620题: 4+8-2=10
第2621题: 5+1/7=5'1/7
第2622题: 5÷2/10÷4=6'1/4
第2623题: (10+4/7*1)+4'2/7=14'6/7
第2624题: 4*(2'1/2+(4'1/4÷6'5/6))=12'20/41
第2625题: (2÷3÷1)=2/3
第2626题: (9+3'3/7)÷1/9=111'6/7
第2627题: 2'2/3-(6+8)+1'1/3=-10
第2628题: (1-4'1/4)-(1/4*9'6/9)=-5'2/3
第2629题: 9+3'1/3=12'1/3
第2630题: 1'1/1+5'2/7=7'2/7
第2631题: 2'1/8*2/4=1'1/16
第2632题: 1/4+2/3=11/12
第2633题: 1'1/3-6=-4'2/3
第2634题: 10÷1/1*2/8=2'1/2
第2635题: (1'2/3÷3'1/3)*1/6-8=-7'11/12
第2636题: 7'6/10+(1/3÷7'1/10)=7'689/1065
第2637题: 1/7-8'8/9-1/2=-9'31/126
第2638题: 6-5÷1=1
第2639题: 2'1/4-10-(1'1/1+1/6)=-9'11/12
第2640题: 2/3÷2'2/3=1/4
第2641题: (1/2-(2'4/5-5-7))=9'7/10
第2642题: (4'2/10+1/2*3'1/5)=5'4/5
第2643题: 4*(2÷8/10)*3=30
第2644题: 3'1/5*2'1/2-(10÷1/7)=-62
第2645题: 3+4'2/5-1'1/3=6'1/15
第2646题: 4'1/5-1'1/4=2'19/20
第2647题: 5+8*4'3/6=41
第2648题: 2+(9÷1'1/1)=6'1/2
第2649题: 5+9÷2/4+5'4/10=28'2/5
第2650题: 1'1/5-6÷6-1=-4/5
第2651题: 7-5/7=6'2/7
第2652题: 1/4-6=-5'3/4
第2653题: 5'1/7-1/3+(1/2*5'1/7)=7'8/21
第2654题: 8*(10+6'1/8)÷1'6/10=80'5/8
第2655题: 2-1/5*10=0/1
第2656题: (5/7+6)*4=26'6/7
第2657题: 1/8*6/8=3/32
第2658题: 7*(2/3÷5)=14/15
第2659题: 7-(4+1'1/1)=1
第2660题: 3'2/3-9=-5'1/3
第2661题: (10*1/1+10)+1/7=20'1/7
第2662题: (2/7-7)÷1'1/1=-3'5/14
第2663题: 1÷1/7*(8-1)=49
第2664题: 1/4*(6*2)=3
第2665题: (2'3/4*7÷4/7)=33'11/16
第2666题: 1÷9=1/9
第2667题: 1'1/1+1'1/1=4
第2668题: 1/7*5=5/7
第2669题: (6*(6-7÷10))=31'4/5
第2670题: 10*4/8*2=10
第2671题: 1'1/3*1/2*(2'1/3÷1)=1'5/9
第2672题: (1/7*6÷1'1/2)=4/7
第2673题: (3/7*10-(4'1/4-1/9))=37/252
第2674题: (2'1/4+7)-5*1/10=8'3/4
第2675题: 4/5+(4'1/6-1'2/3÷8)=4'91/120
第2676题: (6/10÷6'6/10-3)+9=6'1/11
第2677题: 1/8-8÷5=-1'19/40
第2678题: 2+(1/4-2/8)=2
第2679题: 5'5/6+1'3/4=7'7/12
第2680题: (10-9)+2-1/10=2'9/10
第2681题: 1/6-(4-2/5)=-3'13/30
第2682题: (6'4/7*4/9*2)=5'53/63
第2683题: 2'3/5+1/5-1'1/1=4/5
第2684题: (1'2/3+2)-4=1/-3
第2685题: 4÷6'6/7=7/12
第2686题: (5/8+2)*4÷6/8=14
第2687题: 6-1'1/2=4'1/2
第2688题: (4/10+4+1)+6'3/6=11'9/10
第2689题: (3-4/8)*6'1/6=15'5/12
第2690题: 5-8=-3
第2691题: (8-1/2)*2÷6=2'1/2
第2692题: 3*4/5=2'2/5
第2693题: 1'4/9*(8-(4/7+5'3/8))=2'487/504
第2694题: (6/8+2/4)*7'3/8-3'2/3=5'53/96
第2695题: 2'5/6*(1/6÷3'2/4)=17/126
第2696题: 1'1/1-(2+6)=-6
第2697题: 1/8+(5-4/8)=4'5/8
第2698题: 10+(7'7/10÷1/3)=33'1/10
第2699题: 1/8-2'2/6*3/8=-3/4
第2700题: 9+5*(7'5/7+6)=77'4/7
第2701题: 8+2'1/3=10'1/3
第2702题: (8÷8*2÷3)=2/3
第2703题: 8/9*9=8
第2704题: 1'1/8-(4*3)=-10'7/8
第2705题: 3/5÷(8-9)=3/-5
第2706题: 1/8-1/4÷1=1/-8
第2707题: (6÷4)*10+5=20
第2708题: 2'2/4÷(1/8*4)=5
第2709题: 3÷(1/4÷1/9÷6)=8
第2710题: (5-1/1)÷6'2/6*8'2/9=5'11/57
第2711题: 6-3'8/9=2'1/9
第2712题: (9'2/9-3'2/3-10'1/10)-1/2=-5'2/45
第2713题: 8÷1/3-2=22
第2714题: 4÷(2'1/4-(1'8/10-3/4))=3'1/3
第2715题: (3'4/9÷4'1/6+3)=3'62/75
第2716题: 4'2/6+6÷6=5'1/3
第2717题: (4'3/8÷2)÷(5*8)=7/128
第2718题: (8'4/9-1/6÷1)+1/2=8'7/9
第2719题: 8+(3'4/8*7)=32'1/2
第2720题: 8*1=8
第2721题: 1/1÷(2+(2'1/2÷2'7/10))=27/79
第2722题: (3-5)-6/10=-2'3/5
第2723题: 8-9=-1
第2724题: (4*(3'4/8*1/1*1/7))=2
第2725题: (9*9)+5-1/2=85'1/2
第2726题: 2'1/2÷9-3/6=-2/9
第2727题: 7'3/7-(1/1÷(1'1/8-9))=7'5/9
第2728题: 6'6/7-1/2*6'4/6=3'11/21
第2729题: (1/1÷2/4)+5=7
第2730题: 3'4/5*9=34'1/5
第2731题: 1/1+2=3
第2732题: 3'1/8+3'1/4-7=-5/8
第2733题: 3+2'1/5÷1/3=9'3/5
第2734题: 1/1*(2/4*3)=1'1/2
第2735题: (3÷6/7)÷2'1/4=1'5/9
第2736题: 2'2/3-5=-2'1/3
第2737题: 7+(9-4)+3=15
第2738题: (2+2/3)+(4-6/9)=6
第2739题: 7*2/3+9=13'2/3
第2740题: 8-1/1=7
第2741题: (4-1/8)÷7+3'4/5=4'99/280
第2742题: 2'4/7÷10=9/35
第2743题: 2'2/3-5/7+(1'1/1*3'2/3)=9'2/7
第2744题: 1-(4/8+(2/3÷5))=11/30
第2745题: 2+5'3/5÷(5÷5/6)=2'14/15
第2746题: 9-(1/5+(8/10-3/5))=8'3/5
第2747题: 7÷5-(4÷10)=1
第2748题: 2'5/6-8-(1/10*5/8)=-5'11/48
第2749题: (3/5-3'2/3)÷(4'1/5*2)=23/-63
第2750题: (1-6÷7+9)=9'1/7
第2751题: 3+(10'1/10-3)=10'1/10
第2752题: 9-3-1=5
第2753题: (9*5÷3)=15
第2754题: 2+(2÷7)=2'2/7
第2755题: (2-3)*(4+1/4)=-4'1/4
第2756题: (10*8'2/8)÷7*3'1/3=39'2/7
第2757题: (4*1/6÷2)+2=2'1/3
第2758题: (6'4/6*1/1-1)÷3'4/8=1'13/21
第2759题: 3-(6*2'1/6)=-10
第2760题: (4+9+(3'2/3-3))=13'2/3
第2761题: 1'1/1÷3=2/3
第2762题: 1/8+6=6'1/8
第2763题: 1/1÷3/4÷4'1/4=16/51
第2764题: 2-3÷2/5÷6=3/4
第2765题: 3'6/7÷1'6/10=2'23/56
第2766题: 1'1/3+2=3'1/3
第2767题: 1'3/5÷9=8/45
第2768题: (1/3+1)+(2'1/2÷6/8)=4'2/3
第2769题: (10÷6/9)-4'1/4=10'3/4
第2770题: 5+1/3=5'1/3
第2771题: (6/8÷10*7)÷7=3/40
第2772题: (6+10)÷1=16
第2773题: (1'1/1÷3/6)-5/6*2=2'1/3
第2774题: 4+1'1/2÷3/5=6'1/2
第2775题: 3÷(1/2*2)+5'2/7=8'2/7
第2776题: 6'1/7÷5=1'8/35
第2777题: 5+(1/1÷9)=5'1/9
第2778题: 4-4=0/1
第2779题: 1*2÷5'3/7=7/19
第2780题: (2÷4/5÷(1'3/10+6))=25/73
第2781题: 1/6+8+3'1/6=11'1/3
第2782题: (1'5/7+10*5)+7=58'5/7
第2783题: 3'3/4*(1/4-3'3/5)=-12'9/16
第2784题: (7/10*6)*9=37'4/5
第2785题: (4-5÷1/4÷7)=1'1/7
第2786题: (3'2/9-10+4+1/3)=-2'4/9
第2787题: 5+4/5-2-1'2/8=2'11/20
第2788题: 1'1/2*(2'9/10*9)=39'3/20
第2789题: (9÷5/8)÷3=4'4/5
第2790题: 8÷10=4/5
第2791题: 3'1/6÷(8+(2/5÷1/9))=95/348
第2792题: 6-9=-3
第2793题: 3÷(6'4/6*7-4)=9/128
第2794题: (1/1*6'8/9)*2÷2'1/2=5'23/45
第2795题: 5-1/3=4'2/3
第2796题: (10-5)+(2÷2)=6
第2797题: 3*(3+(10÷4))=16'1/2
第2798题: 1/2÷(3'1/5-(4'1/4÷5/8))=-5/36
第2799题: (10÷8)÷4=5/16
第2800题: 3'2/3*(1/4÷(1/2÷6))=11
第2801题: 7+(2+1)=10
第2802题: 5/7÷5'3/7=5/38
第2803题: (5/7+10)*4=42'6/7
第2804题: 4/6-(1/10-(2-1/2))=2'1/15
第2805题: 1/2*2'3/9*2÷8=7/24
第2806题: 2-7'1/8=-5'1/8
第2807题: (1*3/5)*9=5'2/5
第2808题: 1'1/2-2'1/2=-1
第2809题: 1'1/1-(7*4)÷1/2=-54
第2810题: (1'8/10*4'1/7)÷3/5=12'3/7
第2811题: 1'3/6*8=12
第2812题: 1/1÷1/1=1
第2813题: 2÷1/3+9=15
第2814题: 1-5*1'1/9=-4'5/9
第2815题: 6÷4+1/3+4/10=2'7/30
第2816题: 6'4/6*(1/5-9)=-58'2/3
第2817题: 1/4-(3-2/8)=-2'1/2
第2818题: 6-3'1/7=2'6/7
第2819题: 3/7÷(4'1/4÷4)+10=10'48/119
第2820题: (7+7*2/10)+7/9=9'8/45
第2821题: (4+2'1/2)+(1-4)=3'1/2
第2822题: 3'2/5+6=9'2/5
第2823题: 2'1/6*4/8=1'1/12
第2824题: 5+1/1=6
第2825题: (5'3/5+8÷5/6)=15'1/5
第2826题: 2/5-2'2/4=-2'1/10
第2827题: (5÷9*1)=5/9
第2828题: 9-1/9+1/1+1/2=10'7/18
第2829题: 4*10-2'1/2*4'1/4=29'3/8
第2830题: 6'1/7-8=-1'6/7
第2831题: 7*1+(5'8/9÷4'4/10)=8'67/198
第2832题: 3*1/4+10=10'3/4
第2833题: 2÷4'7/8*8=3'11/39
第2834题: 1-(5'4/9*3'1/3)=-17'4/27
第2835题: 1/1+(1/8*1/9)=1'1/72
第2836题: 9÷2-2=2'1/2
第2837题: 2+10'3/10=12'3/10
第2838题: (8+6'4/8)*2=29
第2839题: 3-5/6=2'1/6
第2840题: 8'9/10÷7'4/9=1'131/670
第2841题: 7'7/9÷4*4*2=15'5/9
第2842题: 10*(7'5/8÷4'2/5)=17'29/88
第2843题: 1/9*(3÷(1/1+9/10))=10/57
第2844题: 1'1/1*2/4=1
第2845题: 8+3'4/5=11'4/5
第2846题: 1/3+4=4'1/3
第2847题: 4÷3/5=6'2/3
第2848题: 9+1'1/2*1/2=9'3/4
第2849题: 1/4÷(1/3-7'5/8)=-6/175
第2850题: (4+7)*(7÷7/8)=88
第2851题: (1/5*3)-1÷1'1/1=1/10
第2852题: 3/5+6=6'3/5
第2853题: 3'2/3+3*(2+2)=15'2/3
第2854题: (3'4/9*7)÷7=3'4/9
第2855题: 8-1/3÷2'1/2=7'13/15
第2856题: 5-3/4÷5=4'17/20
第2857题: (6-5)*1'4/7-7=-5'3/7
第2858题: 5'3/6*1/1*5'4/10=29'7/10
第2859题: 5/6÷1=5/6
第2860题: 1+(7-3)-2'2/8=2'3/4
第2861题: (1/3+1)-1/3+10=11
第2862题: 7/8*5/7=5/8
第2863题: (2'1/2÷4)÷(4/10÷8)=12'1/2
第2864题: 2'1/2-(1/2-10)=12
第2865题: (8+(8*3/7+7))=18'3/7
第2866题: 1+8=9
第2867题: 2+(6*(4'5/7-4'4/7))=2'6/7
第2868题: 2÷(8+9)*1/2=1/17
第2869题: (1'3/9+5/10)-7=-5'1/6
第2870题: (2÷8'9/10)+6+1'5/6=8'31/534
第2871题: 8-4'2/5=3'3/5
第2872题: (3'3/4÷1/5)*5=93'3/4
第2873题: 1*6=6
第2874题: 3'4/7*1/9=25/63
第2875题: 1+(9÷6)=2'1/2
第2876题: 1÷9'1/10=10/91
第2877题: (1'1/2-1)*(8+9)=8'1/2
第2878题: 9÷1/3=27
第2879题: 1+(7-5'3/10)=2'7/10
第2880题: 4*(7+1÷3/7)=37'1/3
第2881题: 9-3'1/5=5'4/5
第2882题: 2'2/4-1'1/4=1'1/4
第2883题: 2/3+(4/5-10)=-8'8/15
第2884题: 4/5+3=3'4/5
第2885题: 6÷10'1/10=60/101
第2886题: 1-2'3/8*2'3/6=-4'15/16
第2887题: 7+(1/5-9)=-1'4/5
第2888题: (4'7/9+1/2-(6'1/7-5))=4'17/126
第2889题: 4/8*6+1÷3'2/3=3'3/11
第2890题: 1-8*(10-2)=-63
第2891题: 2'1/2*(2/3+(2'8/10-5/6))=6'7/12
第2892题: 1/4-3'8/9-1/1*4/5=-4'79/180
第2893题: 6÷1'1/1÷10÷4=3/40
第2894题: 1'1/1-10=-8
第2895题: 3'2/5+1'1/4=4'13/20
第2896题: 8÷6=1'1/3
第2897题: 5'1/8-(2/9*3'4/5+1/10)=4'13/72
第2898题: 1/2+1'2/5=1'9/10
第2899题: (3/5-1/3)÷1'1/1÷8=1/60
第2900题: 1÷1/2=2
第2901题: 1/8-7=-6'7/8
第2902题: 1/5*5/7=1/7
第2903题: 1/1÷4=1/4
第2904题: 3/6-2=-1'1/2
第2905题: 1'1/1*1'1/1-(7+2'5/6)=-5'5/6
第2906题: 1/3-1'1/1=-1'2/3
第2907题: (4'2/4+1'3/5)+(3*5)=21'1/10
第2908题: (10÷9/10-3'4/5)*10=73'1/9
第2909题: 3'4/5÷7'1/8÷7'6/10*9=12/19
第2910题: (1*1/2)*6'3/7-1'1/1=1'3/14
第2911题: 8-8-4'3/4=-4'3/4
第2912题: (1'1/2*5/8)+2/9*1/10=691/720
第2913题: 8-(6'3/7+10÷7)=1/7
第2914题: 8-2'1/5=5'4/5
第2915题: 10÷2/6=30
第2916题: 8/9+1-4=-2'1/9
第2917题: (1/2-5/10)-2/3=-2/3
第2918题: (6-2'1/2*4)÷2'1/3=-1'5/7
第2919题: 7-(4-5/7)=3'5/7
第2920题: 8-1'1/1+6'1/9+6=18'1/9
第2921题: 3'1/4+(10÷(1/2-1'2/3))=-5'9/28
第2922题: 3'1/9*1/8=7/18
第2923题: 2+2=4
第2924题: 1'1/1*2'4/5-5*9=-39'2/5
第2925题: 10*7'1/7-2/9=71'13/63
第2926题: 4'5/6÷2+3'7/10=6'7/60
第2927题: 7÷(3'3/4÷6'2/6)=11'37/45
第2928题: 3+5*5/7=6'4/7
第2929题: 2-4'9/10=-2'9/10
第2930题: 5+3/7=5'3/7
第2931题: (2/4*3/8)+7=7'3/16
第2932题: 1/2-7-(2'5/6+1'1/1)=-11'1/3
第2933题: 8/10-7*4-2'2/9=-29'19/45
第2934题: 3-(10-1/4)=-6'3/4
第2935题: (5-9)÷1/7=-28
第2936题: 3'4/7÷(3/4÷2)=9'11/21
第2937题: 2'1/4*3/7=27/28
第2938题: (6÷6'3/9)-3'1/6-1/5=-2'239/570
第2939题: (5-7*6+7/10)=-36'3/10
第2940题: 3-3/8=2'5/8
第2941题: 3*7+2'3/10-2/9=23'7/90
第2942题: (7'3/8-2+7)=12'3/8
第2943题: 3*3'2/4+(1/10÷5'1/6)=10'161/310
第2944题: (1'1/3÷4-2/6)=0/6
第2945题: 3'2/6-1/5=3'2/15
第2946题: (2*4)+(1-7'2/8)=1'3/4
第2947题: 1/4-2=-1'3/4
第2948题: 9-5'6/10=3'2/5
第2949题: (4+4'3/10)÷2=4'3/20
第2950题: (8-1)+(8÷1'1/1)=11
第2951题: 1/1-(2+1)=-2
第2952题: 2+4/7+6=8'4/7
第2953题: 3'8/10÷1/3=11'2/5
第2954题: 1-(1+3+1/3)=-3'1/3
第2955题: 1/1÷4'1/4=4/17
第2956题: (6-2/7)+1'1/1=7'5/7
第2957题: 4'4/5-2'8/9-3/9=1'26/45
第2958题: 2÷(5+2'2/8÷7)=56/149
第2959题: 5'4/10÷3÷8=9/40
第2960题: (9*4/6)÷4/8÷1'3/4=6'6/7
第2961题: 2+(10+4'1/6)*8=115'1/3
第2962题: 2'2/5*(4+8)+7/10=29'1/2
第2963题: (3*5)+(5÷7'5/7)=15'35/54
第2964题: (9÷8)÷5-3=-2'31/40
第2965题: 1÷1*5'5/6=5'5/6
第2966题: 1/3+(8÷2/10)=40'1/3
第2967题: 1'1/1*4=8
第2968题: 1'1/5+1'2/10=2'2/5
第2969题: 2+(4-3)=3
第2970题: (5*6)÷5-9=-3
第2971题: 5*(1+8)=45
第2972题: 3/7*1/3÷1/1=1/7
第2973题: (6*9*4)=216
第2974题: 1'1/1÷3/5*1'1/1=6'2/3
第2975题: 3+7'2/8=10'1/4
第2976题: 9*(7'2/8÷(1÷3'3/5))=234'9/10
第2977题: 3+1/7=3'1/7
第2978题: 1/3-5-8=-12'2/3
第2979题: (6+6'1/6-10)=2'1/6
第2980题: 8*3'3/5=28'4/5
第2981题: 5+1=6
第2982题: 2'6/10*1-4=-1'2/5
第2983题: 1/9*(2-10)=-8/9
第2984题: 1/8÷7=1/56
第2985题: 2÷(3'1/3÷9)*1/1=5'2/5
第2986题: 1'5/9*(9*(1'3/4*2/3))=16'1/3
第2987题: (10*9-(5'1/7-2'1/7))=87
第2988题: 10+(2'4/6*6)=26
第2989题: (1/1-6'6/7)+1/2÷10=-5'113/140
第2990题: 6/8÷8÷5=3/160
第2991题: 6+3/5=6'3/5
第2992题: 1+10=11
第2993题: 9*6=54
第2994题: (4/10*1/2÷1)+7=7'1/5
第2995题: 1'1/3+1/3=1'2/3
第2996题: 6'3/6-8=-1'1/2
第2997题: 1/4-3'1/9=-2'31/36
第2998题: 7/10*1/5=7/50
第2999题: 4/5+(1'5/6*(2/9-6'6/10))=-10'241/270
第3000题: 3'1/3*1'1/1=6'2/3
第3001题: (9*1*3'1/4*3)=87'3/4
第3002题: 5'2/6÷5*1'1/2+1/4=1'17/20
第3003题: 8+(1/3-(3+1'1/1))=3'1/3
第3004题: (1'1/8÷1/6)-7=1/-4
第3005题: 1/1+7÷2'1/2=3'4/5
第3006题: 8÷4'5/7*(1-5)=-6'26/33
第3007题: 2÷(5÷2'2/3÷3)=3'1/5
第3008题: 8*3*3'1/8÷1/7=525
第3009题: 9*1/3-1/10=2'9/10
第3010题: 5+1'1/1=7
第3011题: 10-8=2
第3012题: 10÷1/1=10
第3013题: 6/8+4'1/4=5
第3014题: 1/10+5'1/5+8=13'3/10
第3015题: 7'2/7+6'2/9÷7=8'11/63
第3016题: 2'1/5*(7+10)=37'2/5
第3017题: 2/5-(3'7/9÷2/4)*3/4=-5'4/15
第3018题: 2+4÷8'8/10=2'5/11
第3019题: 6+(4'1/4-2/5)=9'17/20
第3020题: 1/6*2=1/3
第3021题: (6+10)*2=32
第3022题: (7÷7/10÷3/10)=33'1/3
第3023题: (2/6+9÷6/9)=13'5/6
第3024题: 1+(5-4)*2=3
第3025题: (5-3÷4)=4'1/4
第3026题: (1*3'1/6÷9)+10=10'19/54
第3027题: 4*(2/4-1/7)=1'3/7
第3028题: 1/1-(8÷7'7/8)-10=-10'1/63
第3029题: 3-4=-1
第3030题: 2'1/2-(9*9)=-78'1/2
第3031题: 5-(2+7)÷10=4'1/10
第3032题: 3*8/10=2'2/5
第3033题: 6*1'1/6=7
第3034题: 2/7*6'2/7=1'39/49
第3035题: 3*5+7'1/9=22'1/9
第3036题: 4+2/7=4'2/7
第3037题: 1/5-4'6/7=-4'23/35
第3038题: (6-1/4-1/5)=5'11/20
第3039题: (3'1/4-4)÷(10+5)=1/-20
第3040题: 5*(1/2+6)=32'1/2
第3041题: 8'9/10-10+5=3'9/10
第3042题: (10+1)÷1/3=33
第3043题: 5/8-(1÷1)=3/-8
第3044题: 6/7*1/1=6/7
第3045题: 4'3/10+(1'1/1+2-1)=7'3/10
第3046题: 5*8*5'3/6*1=220
第3047题: 7-9-9=-11
第3048题: 1/4-1/2=1/-4
第3049题: 10*9-2=88
第3050题: (5/7+2'1/3)+7/8=3'155/168
第3051题: (6-1'2/3*(3'1/3-1'1/2))=2'17/18
第3052题: (9+1/1*(4'8/9+10))=23'8/9
第3053题: (4/10÷5/6+(5'6/8+7))=13'23/100
第3054题: (3/4÷8*5'3/7)=57/112
第3055题: 7'8/9÷10=71/90
第3056题: 2'1/6÷5/6=2'3/5
第3057题: (1/6÷7)÷(4/5*6)=5/1008
第3058题: 6/10-9'7/9=-9'8/45
第3059题: 8+8÷2/10÷5/9=80
第3060题: 1'1/1-(2*5)=-8
第3061题: 4÷3'5/6+2/6=1'26/69
第3062题: 1/9-9=-8'8/9
第3063题: (1+3'1/6+5)÷5'1/6=1'24/31
第3064题: 7/8-4'6/10+1÷10=-3'5/8
第3065题: (10*3-8'2/9*4)=-2'8/9
第3066题: (2+1'2/6+2/4)=3'5/6
第3067题: 5-(7'2/7*6)*1'1/9=-43'4/7
第3068题: 5÷7'6/8-(1/5-4)=4'69/155
第3069题: (1÷1/6÷(2-1))=6
第3070题: 7*1/9=7/9
第3071题: 1/3*2'2/5=4/5
第3072题: 1/2÷(8'1/9*1'1/1)=9/292
第3073题: (1'1/3-(1*5÷2))=-1'1/6
第3074题: 8-5/8=7'3/8
第3075题: (9-10)÷2+5=4'1/2
第3076题: 4+1/1=5
第3077题: (1-1/4)÷4÷3=1/16
第3078题: (4*1/3÷9'3/10÷2/5)=100/279
第3079题: 1/1-(7-8'5/8+4)=-1'3/8
第3080题: 1'1/1÷2'1/7=14/15
第3081题: 6/9-(1/2*7)=-2'5/6
第3082题: 1/2+3÷1'1/1=2
第3083题: 8÷7'1/9=1'1/8
第3084题: (10+1/5-1/1)+9=18'1/5
第3085题: 6+(4/10-6)=2/5
第3086题: (4÷1*(4'5/7+1'1/1))=26'6/7
第3087题: 1'2/10+7=8'1/5
第3088题: (6'6/10+10)÷7=2'13/35
第3089题: 2/3÷(1/4+9)÷3'1/5=5/222
第3090题: 2'1/3*3'3/5-6=2'2/5
第3091题: 1'1/1+8/10=2'4/5
第3092题: 1/5-1'1/1=-1'4/5
第3093题: 1/1÷4'4/9=9/40
第3094题: (10+2'1/3)÷1/2+6'5/6=31'1/2
第3095题: 8-(9*7)=-55
第3096题: 3/5-(7÷3/4)=-8'11/15
第3097题: 2+6-(1-1'1/2)=8'1/2
第3098题: 7÷8÷8=7/64
第3099题: (5/6*5÷1/6)÷2'1/2=10
第3100题: 4'1/4-6=-1'3/4
第3101题: 9*1÷9-1'1/1=-1
第3102题: 1/2+5'4/5=6'3/10
第3103题: (7'3/10+1/3)÷(9+6)=229/450
第3104题: (1/1*8*9)-1/8=71'7/8
第3105题: (2'1/2+3/6+10)=13
第3106题: 9÷(2/7+(4*3))=63/86
第3107题: 3'2/6+5-1=7'1/3
第3108题: 2'1/2-(4*4/8)=1/2
第3109题: 3/7÷1=3/7
第3110题: 5/6+(2'3/4-4/8)=3'1/12
第3111题: 10*6'2/6=63'1/3
第3112题: 4'3/5-(7÷1)=-2'2/5
第3113题: 2'1/2+4/7=3'1/14
第3114题: (1/4-7÷1'2/6+1/3)=-4'2/3
第3115题: 1÷2'2/6=3/7
第3116题: 1/1÷10+6=6'1/10
第3117题: 4'1/4-3÷(6/7+9)=3'87/92
第3118题: (4/9+10-10÷2'1/4)=6
第3119题: 5*6=30
第3120题: 2/6÷2=1/6
第3121题: 6/9-5'2/10=-4'8/15
第3122题: 3'2/5÷(2/3*6)=17/20
第3123题: (3*(8÷9*4))=10'2/3
第3124题: 1/3*3/5=1/5
第3125题: 4'3/10*(8÷(1/2÷8))=550'2/5
第3126题: (3'4/6*10)-5÷3'2/3=35'10/33
第3127题: (10*3)+8=38
